Date,Dollar,Crude,Petrol,Diesel
01-Jan-11,4.766165714,89.52380952,7.639,6.999
01-Feb-11,4.770147,89.414,8.647,7.958
01-Mar-11,4.754632273,102.9356522,8.647,7.958
01-Apr-11,4.704942105,110.147619,8.647,7.958
01-May-11,4.750642,101.2990909,8.647,7.958
01-Jun-11,4.809994,96.28863636,8.647,7.958
01-Jul-11,4.827912632,97.07809524,8.647,7.958
01-Aug-11,4.925910909,86.33434783,8.647,7.958
01-Sep-11,4.84375,85.64818182,8.647,7.958
01-Oct-11,4.9446285,86.41190476,8.155,7.566
01-Nov-11,5.01727,97.10909091,8.155,7.566
01-Dec-11,5.118794211,98.56681818,8.155,7.566
01-Jan-12,5.12738,100.1022727,8.155,7.566
01-Feb-12,5.213565714,102.2971429,8.155,7.566
01-Mar-12,5.280555,106.1872727,8.155,7.566
01-Apr-12,5.244567778,103.3257143,8.155,7.566
01-May-12,5.212519048,94.53478261,8.155,7.566
01-Jun-12,5.24942685,82.40047619,8.155,7.566
01-Jul-12,4.87259,87.91909091,8.155,7.566
01-Aug-12,4.90873,94.11826087,8.155,7.566
01-Sep-12,5.0247615,94.7045,8.155,7.566
01-Oct-12,5.165641364,89.59652174,8.155,7.566
01-Nov-12,5.202497727,86.72090909,8.155,7.566
01-Dec-12,5.207894737,88.26285714,8.155,7.566
01-Jan-13,5.283231818,94.72956522,8.16,7.57
01-Feb-13,5.3281,95.3095,8.16,7.57
01-Mar-13,5.379838889,93.19904762,8.16,7.57
01-Apr-13,5.362933333,92.06772727,8.16,7.57
01-May-13,5.322627273,94.76695652,9.91,9.2
01-Jun-13,5.41664,95.7695,9.91,9.2
01-Jul-13,5.481595238,104.4265217,9.91,9.2
01-Aug-13,5.42952381,106.4354545,9.91,9.2
01-Sep-13,5.330861905,106.3952381,9.91,9.2
01-Oct-13,5.317722727,100.5569565,9.91,9.2
01-Nov-13,5.5205,93.85095238,9.91,9.2
01-Dec-13,5.526157143,97.89045455,9.91,9.2
01-Jan-14,5.526781818,94.96304348,9.91,9.2
01-Feb-14,5.68561,100.705,9.91,9.2
01-Mar-14,6.095525,100.5680952,9.91,9.2
01-Apr-14,6.201840909,102.175,10.63,10.01
01-May-14,6.6353,101.9963636,10.63,10.01
